year,month,country,calorie_category,flavor,zone,product_code,product_name,sales,source
2020,Aug,Mexico,Regular,Cajeta,Centro,ABYT055818,Atole mix,976,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2020,Aug,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,613038,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2020,Aug,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,72774,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2020,Aug,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,240046,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2020,Aug,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,1657,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2019,Mar,Mexico,Regular,Verde,Centro,206054370,Tamal mix,8676,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2019,Apr,Mexico,Regular,Verde,Centro,206054370,Tamal mix,6137,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2020,Jan,Mexico,Regular,Verde,Centro,206054370,Tamal mix,5061,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2019,Feb,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,14,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2019,Nov,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,21635,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2020,Feb,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,11303,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2020,Apr,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,3361,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2020,Jun,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,18834,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
2019,Apr,Mexico,Regular,Arroz,Centro,ABYT057271,Atole mix,33687,tamales_inc/ventas_mensuales_tamales_inc/mx/20200801/csv/Centro/ventas_mensuales_Centro.csv
